"State
To retrieve county-level data, select a state and click the submit button below",TOTAL POPULATION,MALE CITIZENS 21 YEARS AGE AND OVER,MALES 21 YEARS AGE AND OVER,MALES 18-45 YEARS AGE,FEMALES 5-18 YEARS AGE,MALES 5-18 YEARS AGE,TOTAL FEMALES,TOTAL MALES,PERSONS BORN IN AUSTRALIA,PERSONS BORN IN AUSTRIA,PERSONS BORN IN BELGIUM,PERSONS BORN IN BOHEMIA,PERSONS BORN IN BRITISH AMERICA,PERSONS BORN IN CHINA,PERSONS BORN IN THE ATLANTIC ISLANDS,PERSONS BORN IN AFRICA,PERSONS BORN IN WISCONSIN,PERSONS BORN IN VIRGINIA & WEST VIRGINIA,PERSONS BORN IN VERMONT,PERSONS BORN IN TENNESSEE,PERSONS BORN IN SOUTH CAROLINA,PERSONS BORN IN RHODE ISLAND,PERSONS BORN IN PENNSYLVANIA,PERSONS BORN IN CUBA,PERSONS BORN IN DENMARK,PERSONS BORN IN ENGLAND & WALES,PERSONS BORN IN SWITZERLAND,PERSONS BORN IN SWEDEN & NORWAY,PERSONS BORN IN SPAIN,PERSONS BORN IN SCOTLAND,PERSONS BORN IN RUSSIA,PERSONS BORN IN PORTUGAL,PERSONS BORN IN POLAND,PERSONS BORN IN MEXICO,PERSONS BORN IN ITALY,PERSONS BORN IN IRELAND,PERSONS BORN IN HOLLAND,PERSONS BORN IN GREAT BRITAIN,PERSONS BORN IN GERMANY,PERSONS BORN IN FRANCE,PERSONS BORN IN THE WEST INDIES,WHITE PERSONS,PERSONS BORN IN DELAWARE,PERSONS BORN IN CONNECTICUT,PERSONS BORN IN CALIFORNIA,PERSONS BORN IN ALABAMA,BORN IN STATE OR TERRITORY,PERSONS HAVING FOREIGN-BORN FATHER AND MOTHER,PERSONS HAVING FOREIGN-BORN MOTHER,PERSONS HAVING FOREIGN-BORN FATHER,PERSONS HAVING ONE OR BOTH PARENTS FOREIGN BORN,FOREIGN-BORN PERSONS,NATIVE-BORN PERSONS,INDIAN PERSONS,CHINESE PERSONS,COLORED PERSONS,PERSONS BORN IN DISTRICT COLUMBIA,PERSONS BORN IN GEORGIA,PERSONS BORN IN ILLINOIS,PERSONS BORN IN OHIO,PERSONS BORN IN NORTH CAROLINA,PERSONS BORN IN NEW YORK,PERSONS BORN IN THE TERRITORY NEW MEXICO,PERSONS BORN IN NEW JERSEY,PERSONS BORN IN NEW HAMPSHIRE,PERSONS BORN IN MISSOURI,PERSONS BORN IN MISSISSIPPI,PERSONS BORN IN MASSACHUSETTS,PERSONS BORN IN INDIANA,PERSONS BORN IN IOWA,PERSONS BORN IN KENTUCKY,PERSONS BORN IN LOUISIANA 1870,PERSONS BORN IN MAINE,PERSONS BORN IN MARYLAND,WHITE MALES 15-20 WHO CANNOT WRITE,WHITE FEMALES 15-20 WHO CANNOT WRITE,WHITE MALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 21 AND OVER WHO CANNOT WRITE,COLORED MALES 10-14 WHO CANNOT WRITE,COLORED FEMALES 10-14 WHO CANNOT WRITE,COLORED MALES 15-20 WHO CANNOT WRITE,COLORED FEMALES 15-20 WHO CANNOT WRITE,COLORED MALES 21 AND OVER WHO CANNOT WRITE,COLORED FEMALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 10-14 WHO CANNOT WRITE,WHITE MALES 10-14 WHO CANNOT WRITE,FOREIGN-BORN PERSONS WHO CANNOT WRITE,TOTAL PERSONS ATTENDING SCHOOL,NATIVE-BORN PERSONS ATTENDING SCHOOL,FOREIGN-BORN PERSONS ATTENDING SCHOOL,WHITE MALES ATTENDING SCHOOL,WHITE FEMALES ATTENDING SCHOOL,COLORED MALES ATTENDING SCHOOL,COLORED FEMALES ATTENDING SCHOOL,PERSONS 10 AND OVER WHO CANNOT READ,TOTAL PERSONS WHO CANNOT WRITE,NATIVE-BORN PERSONS WHO CANNOT WRITE,FARMS 3-9 ACRES,FARMS UNDER THREE ACRES,TOTAL FARMS,VALUE ALL LIVESTOCK,FARMS 10-19 ACRES,FARMS 20-49 ACRES,FARMS 50-99 ACRES,FARMS 100-499 ACRES,FARMS 500-999 ACRES,FARMS 1000 ACRES AND OVER,VALUE ANIMALS SLAUGHTERED OR SOLD FOR SLAUGHTER,VALUE HOME MANUFACTURES,ACRES IMPROVED LAND,ACRES UNIMPROVED WOODLAND,ACRES OTHER UNIMPROVED LAND,PRESENT CASH VALUE FARMS,PRESENT CASH VALUE FARMING IMPLEMENTS AND MACHINERY,TOTAL ANNUAL AGRIC. WAGES PAID,TOTAL (ESTIMATED) VALUE ALL FARM PRODUCTIONS,VALUE ORCHARD PRODUCTS,VALUE PRODUCE MARKET GARDENS,VALUE FOREST PRODUCTS,TRUE VALUATION REAL AND PERSONAL ESTATE,TOTAL NON-NATIONAL TAXATION,TOTAL STATE TAXATION,TOTAL COUNTY TAXATION,TOTAL TOWN,PUBLIC DEBT  OF THE COUNTY,"PUBLIC DEBT OF TOWNS, CITIES, ETC.",ASSESSED VALUATION REAL AND PERSONAL ESTATE,VALUE PRODUCTS MANUFACTURING,VALUE MATERIALS USED IN MANUFACTURING,MANUFACTURING ESTABLISHMENTS,TOTAL HANDS EMPLOYED IN MANUFACTURING,MALES ABOVE AGE 16 EMPLOYED IN MANUFACTURING,FEMALES ABOVE AGE 16 EMPLOYED IN MANUFACTURING,YOUTHS EMPLOYED IN MANUFACTURING,TOTAL CAPITAL INVESTED (IN DOLLARS) IN MANUFACTURING,TOTAL WAGES PAID IN MANUFACTURING,SECOND ADVENTIST ORGANIZATIONS,ROMAN CATHOLIC SITTINGS,ROMAN CATHOLIC ORGANIZATIONS,REFORMED LATE GERMAN SITTINGS,REFORMED LATE GERMAN ORGANIZATIONS,REFORMED LATE DUTCH SITTINGS,REFORMED LATE DUTCH ORGANIZATIONS,PRESBYTERIAN SITTINGS,PRESBYTERIAN ORGANIZATIONS,SECOND ADVENTIST SITTINGS,UNITARIAN ORGANIZATIONS,VALUE  PROPERTY ALL DENOMINATIONS,SITTINGS ALL DENOMINATIONS,EDIFACES ALL DENOMINATIONS,ORGANIZATIONS ALL DENOMINATIONS,UNIVERSALIST SITTINGS,UNIVERSALIST ORGANIZATIONS,UNITED BRETHERN IN CHRIST SITTINGS,UNITED BRETHERN IN CHRIST ORGANIZATIONS,UNITARIAN SITTINGS,NEW JERUSALEM SITTINGS,NEW JERUSALEM ORGANIZATIONS,EVANGELICAL ASSOCIATION ORGANIZATION,EPISCOPAL SITTINGS,EPISCOPAL ORGANIZATIONS,CONGREGATIONAL SITTINGS,CONGREGATIONAL ORGANIZATIONS,CHRISTIAN SITTINGS,CHRISTIAN ORGANIZATIONS,BAPTIST SITTINGS,EVANGELICAL ASSOCIATION SITTINGS,FRIENDS ORGANIZATIONS,FRIENDS SITTINGS,MORMON SITTINGS,MORMAN ORGANIZATIONS,METHODIST SITTINGS,METHODIST ORGANIZATIONS,LUTHERAN SITTINGS,LUTHERAN ORGANIZATIONS,JEWISH SITTINGS,JEWISH ORGANIZATIONS,BAPTIST ORGANIZATIONS
ALABAMA,996992,202046,203315,168986,169703,173273,508254,488738,NA,99,NA,NA,183,NA,NA,244,NA,29636,NA,19797,42972,NA,NA,NA,NA,1080,168,126,NA,458,NA,NA,NA,NA,118,3893,NA,22,2482,594,NA,521384,NA,NA,NA,NA,744146,16981,18060,20765,21844,9962,987030,98,0,475510,NA,93028,NA,NA,30290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9642,9757,17429,31001,24391,22615,25616,28915,91017,98344,11016,13214,870,77139,77091,48,31098,30226,7502,8313,349771,383012,382142,4491,0,67382,26690095,9128,26541,14003,11719,1194,306,4670146,1124513,5062204,8380332,1518642,67739036,3286924,11851870,67522335,37590,139636,85933,201847,2982932,1456024,1122971,403928,1704173,3094963,155582595,13040644,7592837,2188,8248,7196,664,388,5714032,2227968,NA,6730,20,NA,NA,NA,NA,67615,202,NA,NA,2414515,510810,1958,2095,550,6,NA,NA,NA,NA,NA,NA,15520,50,650,4,5750,19,190200,NA,NA,NA,NA,NA,218945,991,NA,NA,NA,NA,789
KANSAS,364399,99069,105671,95002,53041,55669,162175,202224,NA,448,NA,NA,5324,NA,NA,NA,NA,NA,NA,NA,NA,NA,19287,NA,503,7182,1328,5542,NA,1531,NA,NA,NA,NA,NA,10940,300,270,12775,1274,NA,346377,NA,NA,NA,NA,63321,73465,77828,82848,87211,48392,316007,914,0,17108,NA,NA,35558,38205,NA,NA,NA,NA,NA,29775,NA,NA,30953,NA,NA,NA,NA,NA,1311,908,5994,6175,342,314,449,497,2772,2839,1099,1491,4101,63183,61431,1752,31568,29223,1011,1116,16369,24550,20449,4857,0,38202,23173185,5478,13744,8722,5346,42,13,4156386,156910,1971003,635419,3050457,90327040,4053312,2519452,27630651,158046,129013,368947,188891,2673992,809608,1160138,704246,3736901,1112075,92125861,11775833,6112163,1477,6844,6599,118,127,4319060,2377511,NA,14605,37,NA,NA,NA,NA,22810,94,NA,NA,1722700,102085,301,530,NA,NA,2200,24,NA,NA,NA,NA,3280,14,8350,43,4550,35,18540,NA,NA,NA,NA,NA,23525,166,NA,NA,NA,NA,92
KENTUCKY,1321011,282305,289471,239483,224048,230491,655336,665675,NA,146,NA,NA,1082,NA,NA,NA,NA,44121,NA,49952,NA,NA,NA,NA,NA,4520,1147,128,NA,1019,NA,NA,NA,NA,325,21642,270,20,30318,2057,NA,1098692,NA,NA,NA,NA,1081081,126799,130183,139336,142720,63398,1257613,108,1,222210,NA,NA,NA,19733,12877,NA,NA,NA,NA,NA,NA,NA,11660,NA,NA,NA,NA,NA,18724,18036,43826,62725,12891,12067,12157,12769,37889,43277,26014,31752,7231,181225,180063,1162,91225,82278,3520,4182,249567,332176,324945,7045,145,118422,66287343,16292,38939,29731,25490,616,164,24121861,1683972,8103850,9134658,1421598,311238916,8572896,10709382,87477374,1231385,527329,574994,601321,5318575,1842870,1307833,2167872,7173644,7893360,409544294,54625809,29497535,5390,30636,27687,1159,1790,29277809,9444824,NA,72550,130,NA,NA,NA,NA,100750,306,NA,NA,9801465,876439,2694,2967,NA,NA,NA,NA,NA,NA,NA,5,15800,38,NA,NA,141585,490,288936,3000,NA,NA,NA,NA,244918,978,1650,7,NA,NA,1004
LOUISIANA,726915,159001,174187,136753,113594,112520,364750,362165,NA,435,NA,NA,714,NA,NA,NA,NA,30033,NA,NA,10838,NA,NA,994,NA,2925,873,434,1130,814,NA,NA,NA,NA,NA,17068,NA,12,18933,12341,NA,362065,NA,NA,NA,20446,501864,113486,118017,127480,132011,61827,665088,569,71,364210,NA,15969,NA,NA,NA,NA,NA,NA,NA,NA,31628,NA,NA,NA,NA,NA,NA,NA,4710,4926,12048,15540,16978,16375,15873,19718,76612,79437,6395,7130,7385,51259,50688,571,20542,19641,5467,5609,257184,276158,268773,3016,685,28481,15929188,7493,8854,3888,3753,650,142,817831,64416,2045640,4003170,977007,68215421,7159333,11042789,52006622,142129,176969,92596,323124,6490028,2100999,4109999,279030,1326635,26739072,253371890,24161905,12412023,2557,30071,23637,4210,2224,18313974,4593470,NA,62525,103,NA,NA,NA,NA,14100,37,NA,NA,4048525,213955,599,638,NA,NA,NA,NA,NA,NA,NA,NA,17100,36,4650,9,NA,NA,56140,NA,NA,NA,NA,NA,52990,213,1650,3,2200,5,227
MAINE,626915,153160,169821,118940,86355,89233,313812,313103,NA,NA,NA,NA,26788,NA,NA,NA,NA,NA,1264,NA,NA,473,NA,NA,102,3929,NA,149,NA,998,NA,72,NA,NA,48,15745,NA,0,508,137,62,624809,NA,NA,NA,NA,550629,73858,81128,84381,91651,48881,578034,499,1,1606,NA,NA,NA,NA,NA,1450,NA,NA,9753,NA,NA,11139,NA,NA,NA,NA,NA,NA,1247,1186,6516,6775,13,3,17,14,69,57,1368,1782,11066,155140,152106,3034,80630,74314,109,77,13486,19052,7986,3604,232,59804,23357129,6979,22889,19781,6299,20,0,4939071,450988,2917793,2224740,695525,102961951,4809113,2903292,33470044,874569,266397,1531741,348156,5348645,1350305,320199,3683141,274153,8282571,204253780,79497521,49379757,5550,49180,34310,13448,1422,39796190,14282205,28,17822,32,NA,NA,NA,NA,NA,NA,3175,NA,5196852,376038,1102,1326,23910,84,NA,NA,NA,NA,NA,NA,8975,25,83985,231,4922,44,117189,NA,NA,NA,NA,NA,82530,327,NA,NA,NA,NA,480
MARYLAND,780894,169845,184742,144695,121522,122932,395910,384984,NA,266,NA,789,644,NA,NA,NA,NA,20237,NA,NA,NA,NA,22846,NA,NA,5849,297,118,NA,2432,NA,NA,NA,NA,NA,23630,236,77,47045,649,NA,605497,6850,NA,NA,NA,629882,159872,164960,176274,181362,83412,697482,4,2,175391,3211,NA,NA,NA,NA,3890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3022,3077,13344,19422,7143,6502,7075,8278,27123,32582,3653,4274,8592,105435,103930,1505,51668,46093,3808,3866,114100,135499,126907,1150,164,27000,18433698,1764,4825,7026,11894,163,14,4621418,63098,2914007,1435988,162584,170369684,5268676,8560367,35343927,1319405,1039782,613209,643750,5667854,816264,1542218,3309372,1565779,14149323,423834918,76593613,46897032,5812,44860,34061,8278,2521,36438729,12682817,NA,62280,103,19980,47,NA,NA,32415,77,NA,NA,12038650,499770,1389,1420,NA,NA,12100,36,NA,NA,NA,NA,61480,153,NA,NA,NA,NA,20730,NA,NA,NA,NA,NA,231530,771,40915,88,NA,NA,97
MASSACHUSETTS,1457351,312770,398157,298767,187180,184640,753572,703779,NA,NA,NA,NA,70055,NA,1814,NA,NA,NA,22180,NA,NA,NA,NA,NA,NA,34673,491,1688,NA,9003,NA,735,NA,NA,NA,216120,480,80,13072,1629,NA,1443156,NA,17313,NA,NA,903289,590352,606727,609836,626211,353319,1104032,151,97,13947,NA,NA,NA,NA,NA,24628,NA,NA,47773,NA,NA,NA,NA,NA,NA,NA,55571,NA,3013,4394,30920,52890,29,30,76,147,822,1044,2144,2215,89830,287405,270369,17036,143779,141755,941,907,74935,97742,7912,1129,45,26500,17049228,2532,8381,8727,5643,40,3,4324658,79378,1736221,706714,287348,116432784,5000879,5821032,32192378,939854,1980231,1616818,2132148,22041182,4527244,653500,16860438,707123,40233534,999999744,553912568,334413982,13212,279380,179032,86229,14119,231677862,118051886,NA,130415,196,NA,NA,NA,NA,NA,NA,NA,180,24488285,882317,1764,1848,35627,97,NA,NA,98306,NA,NA,NA,46245,107,269314,500,9675,31,139035,NA,NA,NA,NA,NA,117325,297,NA,NA,NA,NA,286
MICHIGAN,1184059,274459,315937,252821,176724,181806,566314,617745,NA,NA,NA,1179,89590,NA,NA,NA,NA,NA,14445,NA,NA,NA,28507,NA,952,35609,2116,3922,NA,8552,NA,NA,NA,NA,NA,42013,12559,26,64143,3121,NA,1167282,NA,NA,NA,NA,507268,416336,444958,459537,488159,268010,916049,4926,2,11849,NA,NA,NA,62207,NA,231509,NA,NA,NA,NA,NA,NA,12140,NA,NA,NA,NA,NA,2973,2125,17543,17986,170,199,169,161,1015,941,3294,4728,30580,264217,239865,24352,136607,125754,769,714,34613,53127,22547,6763,134,98786,49809869,13170,38795,27687,12175,57,5,11711624,338008,5096939,4080146,842057,398240578,13711979,8421161,81508623,3447985,352658,2559682,728204,5412957,396352,1565163,3451442,1275479,3064724,272242917,118394676,68142515,9455,63694,58347,2941,2406,71712283,21205355,NA,62991,167,NA,NA,NA,NA,48925,187,NA,NA,9133816,456226,1415,2239,NA,NA,4225,69,NA,NA,NA,NA,26750,100,38320,156,NA,NA,74100,NA,NA,NA,NA,NA,140290,864,23150,96,NA,NA,366
MINNESOTA,439706,75274,114739,94238,70008,72657,204407,235299,NA,2647,NA,2166,16698,NA,NA,NA,24048,NA,NA,NA,NA,NA,11966,NA,1910,6614,2162,56927,NA,2194,NA,NA,NA,NA,NA,21746,NA,38,41364,1743,NA,438257,NA,NA,NA,NA,126491,265689,273860,277345,285516,160697,279009,690,0,759,NA,NA,10979,12651,NA,39507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1014,975,8041,10109,2,4,11,4,44,37,1680,2122,18855,96793,83732,13061,50158,46528,35,40,12747,24413,5558,4030,176,46500,20118841,7948,18099,11078,5039,128,2,3076650,174046,2322102,1336299,2825427,97847442,6721120,4459201,33446400,15818,115234,311528,228912,2588302,451056,1070944,1066302,472694,1966103,84135332,23110700,13842902,2270,11290,10892,259,139,11993729,4052837,NA,42370,154,NA,NA,NA,NA,16956,76,NA,NA,2401750,158266,582,877,NA,NA,NA,NA,NA,NA,NA,20,14595,64,11400,57,NA,NA,12435,3875,NA,NA,NA,NA,26890,225,23325,135,NA,NA,94
MISSISSIPPI,827922,169737,174845,149698,137587,141412,414501,413421,NA,NA,NA,NA,375,NA,NA,125,NA,33551,NA,31804,35956,NA,NA,NA,193,1113,266,1048,NA,434,NA,NA,NA,NA,147,3359,NA,0,2960,630,NA,382896,NA,NA,NA,59520,564142,14967,15861,17862,18756,11191,816731,809,16,444201,NA,28260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5447,4749,9357,13746,24076,22606,23216,26867,80810,87327,6555,8174,827,39141,39085,56,17139,16264,2768,2970,291718,313310,312483,11003,0,68023,29940238,8981,26048,11967,8938,853,233,4090818,505298,4209146,7959384,952583,81716576,4456633,10326794,73137953,71018,61735,39975,209195,3544836,1118059,2299699,127078,656585,142600,177278890,8154758,4364206,1731,5941,5500,191,250,4501714,1547428,NA,8250,27,NA,NA,NA,NA,71100,262,NA,NA,2360800,485398,1800,1829,NA,NA,NA,NA,NA,NA,NA,NA,8650,33,300,2,7325,30,174970,NA,NA,NA,NA,NA,208203,787,2450,10,NA,NA,665
MISSOURI,1721295,380235,408206,352998,283487,294316,824948,896347,NA,1493,NA,3517,8448,NA,NA,NA,NA,61306,NA,70212,NA,NA,NA,NA,NA,15838,6597,2599,NA,3283,NA,NA,NA,NA,NA,54983,1167,37,113618,6293,NA,1603146,NA,NA,NA,NA,874006,416909,428770,453264,465125,222267,1499028,75,3,118071,NA,NA,72623,76062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102861,NA,NA,NA,14755,12731,34780,50124,5364,5133,5355,6181,18002,20587,21864,27509,15584,324348,317745,6603,165792,149468,4557,4523,146771,222411,206827,10113,691,148328,84285273,17431,55988,38595,24898,514,98,23626784,1737606,9130615,8965229,3611376,392908047,15596426,8797487,103035759,2617463,406655,793343,1284923,13908498,2778697,4402227,6727574,11813712,17224853,556129969,206213429,115533269,11871,65354,55904,3884,5566,80257244,31055445,NA,97550,184,NA,NA,NA,NA,103350,476,NA,NA,9709358,691520,2082,3229,NA,NA,5800,38,NA,NA,NA,NA,20950,83,NA,NA,68545,394,145360,NA,NA,NA,NA,NA,185420,1066,39550,94,NA,NA,805
NEBRASKA,122993,36169,39080,35677,16744,17779,52568,70425,NA,299,NA,1770,2623,NA,NA,NA,NA,NA,NA,NA,NA,NA,6964,NA,1127,3814,593,2850,NA,789,NA,NA,NA,NA,NA,4978,NA,2,10944,337,NA,122117,NA,NA,NA,NA,18521,44652,46392,48277,50017,30748,92245,87,0,789,NA,NA,9625,10714,NA,9199,NA,NA,NA,NA,NA,NA,NA,7588,NA,NA,NA,NA,317,212,956,1169,16,10,15,21,93,50,809,1167,1309,17956,16587,1369,9437,8463,30,18,2365,4861,3552,702,85,12301,6551185,1541,5096,3379,1487,11,0,854850,36951,647031,213374,1213376,30242186,1549716,882478,8604742,9932,30649,36307,69340,1027327,262505,753022,11800,1769484,72400,54584616,5738512,2902074,670,2665,2558,81,26,2169963,1429913,NA,2935,17,NA,NA,NA,NA,3125,24,NA,NA,386000,32210,108,181,NA,NA,NA,NA,NA,NA,NA,NA,3500,15,2050,10,1550,9,5400,NA,NA,NA,NA,NA,10150,50,2000,14,NA,NA,26
NEVADA,42491,18652,26920,24762,2575,2762,10112,32379,NA,NA,NA,NA,2365,3146,NA,NA,NA,NA,NA,NA,NA,NA,1458,NA,208,2850,247,297,NA,630,NA,NA,NA,226,NA,5035,NA,10,2181,414,NA,38959,NA,NA,2390,NA,3356,23147,24042,24222,25117,18801,23690,23,3152,357,NA,NA,1144,1858,NA,3265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,474,126,0,0,0,0,15,6,15,8,774,2893,2796,97,1451,1433,6,2,727,872,98,114,2,1036,1445449,138,190,150,242,197,3,104471,2329,92644,13415,102451,1485505,163718,438350,1659713,900,31235,36700,31134,820308,298411,498062,23835,987423,355776,25740973,15870539,10315984,330,2859,2856,3,0,5127790,2498473,0,3250,10,NA,NA,NA,NA,1100,5,0,0,212000,8000,19,32,0,0,NA,NA,0,NA,NA,NA,1100,5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2550,11,NA,NA,NA,NA,NA
NEW HAMPSHIRE,318300,83361,91016,60684,38693,40073,162660,155640,14,NA,NA,NA,12955,NA,NA,NA,NA,NA,12837,NA,NA,NA,NA,NA,11,2706,11,97,NA,892,NA,12,NA,NA,NA,12190,NA,107,436,60,NA,317697,NA,617,NA,NA,242374,40820,42550,42862,44592,29611,288689,23,0,580,NA,NA,NA,NA,NA,2499,NA,NA,NA,NA,NA,16510,NA,NA,NA,NA,11404,NA,712,700,3361,4225,4,3,10,8,38,32,377,456,7934,65824,64366,1458,34353,31423,25,23,7618,9926,1992,1376,16,29642,15246545,2064,7194,10107,8804,75,6,3720243,234062,2334487,1047090,224417,80589313,3459943,2319164,22473547,743552,119997,1743944,252625,2900667,600000,318666,1982001,744370,7590434,149065290,71038249,44577967,3342,40783,25829,12775,2179,36023743,13823091,21,NA,NA,NA,NA,NA,NA,NA,NA,4405,23,3303780,210090,624,633,8812,24,NA,NA,7830,NA,NA,NA,7475,21,67951,169,4600,19,51925,NA,NA,NA,NA,NA,36351,118,NA,NA,NA,NA,184
NEW JERSEY,906096,194109,231862,180987,130813,132049,456424,449672,NA,686,NA,NA,2474,NA,NA,NA,NA,NA,NA,NA,NA,NA,32947,NA,509,27418,2061,644,NA,5710,NA,NA,NA,NA,NA,86784,2944,397,54003,3130,NA,875407,NA,5448,NA,NA,575245,321245,330900,340661,350316,188943,717153,16,15,30658,NA,NA,NA,NA,NA,74750,NA,NA,NA,NA,NA,6068,NA,NA,NA,NA,NA,3384,2113,2309,14515,21916,432,443,481,551,2881,3509,2546,2987,24961,158099,152009,6090,79320,75428,1784,1553,37057,54687,29726,2993,70,30652,21443463,3476,7376,9415,7299,15,8,6982162,144016,1976474,718335,294702,257523376,7887991,8314548,42725198,1295282,2978250,352704,940974,7416724,373046,2397348,4646330,6935315,12922789,624868971,169237732,103415245,6636,75552,58115,11198,6239,79606719,32648409,NA,45400,107,NA,NA,54800,97,128200,251,NA,NA,18347150,573303,1384,1402,NA,NA,NA,NA,NA,NA,NA,NA,34800,128,NA,NA,NA,NA,63113,NA,63,28750,NA,NA,196860,518,6750,19,NA,NA,168
NEW YORK,4382759,981587,1158901,881500,617329,613659,2219530,2163229,NA,3928,NA,NA,79042,NA,NA,NA,NA,NA,36307,NA,NA,NA,36170,NA,NA,117928,7916,6497,NA,27282,NA,NA,4061,NA,NA,528806,6426,90,317502,22302,NA,4330210,NA,38861,NA,NA,2987776,2043112,2106987,2161752,2225627,1138353,3244406,439,29,52081,NA,NA,NA,NA,NA,NA,NA,32408,NA,NA,NA,41355,NA,NA,NA,NA,NA,NA,8138,10435,73208,116744,371,366,585,622,3912,4874,9127,10772,168569,846796,806640,40156,430731,410426,2835,2753,163501,239271,70702,13006,72,216253,175882712,18145,54881,73956,55948,209,36,28225720,1621621,15627206,5679870,883734,1272857766,45997712,34451362,253526153,8347417,3432354,6689179,6500842,48279741,8449589,15102761,24727391,50679784,76719306,999999744,785194651,452065452,36206,351800,267378,63795,20627,366994320,142466758,NA,271283,455,NA,NA,147033,304,349870,726,NA,NA,66055755,2280876,5472,5625,NA,NA,NA,NA,NA,NA,NA,NA,204290,475,111785,268,NA,NA,333086,NA,NA,NA,NA,NA,606098,1745,70133,190,NA,NA,902
NORTH CAROLINA,1071361,214224,217813,174825,177509,182421,552657,518704,NA,NA,NA,NA,171,NA,NA,31,NA,15425,NA,3505,13537,NA,NA,NA,NA,500,80,43,NA,420,NA,NA,NA,NA,19,677,NA,4,904,54,17,678470,NA,NA,NA,NA,1028678,4328,4644,6148,6464,3029,1068332,1241,0,391650,NA,2052,NA,NA,NA,789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15384,16527,33111,62728,21313,19642,21341,23464,68669,76177,18407,20240,117,65301,65282,19,28357,25511,5491,5928,339789,397690,397573,6744,293,93565,21993967,14257,35280,22167,13819,889,116,7983132,1603513,5258742,12026894,2549774,78211083,4082111,8342856,57845940,394749,48499,1089115,260759,2312368,1160413,923604,228351,1732773,841218,130377722,19021327,12824693,3642,13622,11339,1422,861,8140473,2195711,NA,NA,NA,9300,31,NA,NA,77155,204,NA,NA,2487877,718310,2497,2683,NA,NA,NA,NA,NA,NA,NA,NA,22955,77,NA,NA,16200,66,249765,NA,28,11250,NA,NA,300045,1193,23290,73,NA,NA,985
OHIO,2665260,592350,640820,501750,420505,425466,1327710,1337550,NA,3699,NA,1429,12988,NA,NA,NA,NA,72950,NA,NA,NA,NA,149784,NA,NA,49500,12709,316,NA,7819,NA,NA,NA,NA,NA,82674,2024,1572,181464,12697,NA,2601946,NA,NA,NA,NA,1842313,731345,764380,816780,849815,372493,2292767,100,1,63213,NA,NA,NA,NA,NA,67594,NA,NA,NA,NA,NA,NA,NA,NA,26230,NA,NA,23292,8568,7491,41439,68449,1274,1115,1372,1398,7531,8076,11372,15064,39070,645639,632202,13437,329367,306413,5097,4747,92720,173172,134102,7028,184,195953,120300528,13794,55286,71066,48072,454,69,40498375,1371409,14469133,6883575,359712,1054465226,25692787,16480778,198256907,5843679,1289272,2719140,2235432,23475068,4675838,6501941,12297289,4237543,8272367,999999744,269713610,157131697,22773,137202,119686,11575,5941,141923964,49066488,NA,160700,295,88900,288,NA,NA,293945,792,NA,NA,25545725,2084386,6282,6486,NA,NA,85350,370,NA,NA,NA,NA,NA,NA,NA,NA,167625,681,202870,NA,NA,NA,NA,NA,714146,2161,131050,477,NA,NA,713
OREGON,90923,24608,28616,23959,14365,15035,37792,53131,NA,NA,NA,NA,1187,3327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,1410,160,281,NA,394,67,NA,NA,NA,NA,1967,NA,0,1875,308,NA,86929,NA,NA,NA,NA,37155,16156,17541,19320,20705,11600,79323,318,3330,346,NA,NA,4722,4031,NA,NA,NA,NA,NA,7061,NA,NA,3451,3695,NA,NA,NA,NA,161,109,1085,1096,3,4,4,3,48,28,388,572,1424,18096,17962,134,9574,8475,20,8,2609,4427,3003,536,98,7587,6828675,579,1545,1409,2994,338,88,1365737,87376,1116290,761001,511961,22352989,1293717,719875,7122790,310041,105371,259220,51559,580956,177653,362753,40550,105903,6000,31798510,6877387,3419756,969,2884,2753,67,64,4376849,1120173,NA,2750,13,NA,NA,NA,NA,5675,20,NA,NA,471100,39425,135,220,NA,NA,500,10,NA,NA,NA,NA,1800,9,2300,8,4400,26,4750,NA,NA,NA,NA,NA,15100,97,NA,NA,NA,NA,28
